"id","killer","killer side","victim","victim side","method","weapon","body parts","ian johnson line","fagles line","tumblr id","notes"
48,"Diomedes","A","Axylus","T",,,,6.14,,28177386556,
49,"Diomedes","A","Calesius","T",,,,6.2,,28177386556,
50,"Euryalus","A","Dresus","T",,,,6.23,,28244614206,
51,"Euryalus","A","Opheltius","T",,,,6.23,,28244614206,
52,"Euryalus","A","Aesepus","T",,,,6.24,,28244614206,
53,"Euryalus","A","Pedasus","T",,,,6.24,,28244614206,
54,"Polypoetes","A","Astyalus","T",,,,6.33,,28315299552,
55,"Odysseus","A","Pidytes","T"," with his spear",,,6.34,,28315299552,
56,"Teucer","A","Aretaon","T",,,,6.35,,28315299552,
57,"Antilochus","A","Ableros","T"," with his spear",,,6.35,,28389922651,
58,"Agamemnon","A","Elatus","T",,,,6.38,,28463749975,
59,"Leitus","A","Phylacus","T",,,,6.41,,28535926794,
60,"Eurypylus","A","Melanthius","T",,,,6.42,,28535926794,
61,"Agamemnon","A","Adrestus","T"," spear in the side",,,6.76,,28608186072,
62,"Paris","T","Menesthius","A",,,,7.8,,28678997647,
63,"Hector","T","Eioneus","A"," spear in the neck",,,7.11,,28678997647,
64,"Glaucus","T","Iphinous","A"," spear in the shoulder",,,7.13,,28745070841,
65,"Diomedes","A","Eniopeus","T"," spear in the chest",,,8.138,,29041287666,
66,"Diomedes","A","Agelaos","T"," spear in the back",,,8.3,,29112735306,
67,"Teucer","A","Orsilochos","T"," with an arrow",,,8.321,,29183593975,
68,"Teucer","A","Ormenus","T"," with an arrow",,,8.321,,29183593975,
69,"Teucer","A","Ophelestes","T"," with an arrow",,,8.321,,29183593975,
70,"Teucer","A","Daitor","T"," with an arrow",,,8.322,,29183593975,
71,"Teucer","A","Chromius","T"," with an arrow",,,8.322,,29183593975,
72,"Teucer","A","Lycophontes","T"," with an arrrow",,,8.322,,29183593975,
73,"Teucer","A","Amopaon","T"," with an arrow",,,8.323,,29183593975,
74,"Teucer","A","Melanippus","T"," with an arrow",,,8.323,,29183593975,
75,"Teucer","A","Gorgythion","T"," with an arrow",,,8.353,,29252605889,
76,"Teucer","A","Archeptolemos","T"," with an arrow",,,8.363,,29325020004,
77,"Diomedes","A","Dolon","T"," sword across the neck",,,10.546,,29469336168,
78,"Diomedes","A","sleeping Thracian soldier","T",,,,10.579,,29540391579,
79,"Diomedes","A","sleeping Thracian soldier","T",,,,10.579,,29540391579,
80,"Diomedes","A","sleeping Thracian soldier","T",,,,10.579,,29540391579,
81,"Diomedes","A","sleeping Thracian soldier","T",,,,10.579,,29540391579,
82,"Diomedes","A","sleeping Thracian soldier","T",,,,10.579,,29540391579,
83,"Diomedes","A","sleeping Thracian soldier","T",,,,10.579,,29540391579,
84,"Diomedes","A","sleeping Thracian soldier","T",,,,10.579,,29540391579,
85,"Diomedes","A","sleeping Thracian soldier","T",,,,10.579,,29540391579,
86,"Diomedes","A","sleeping Thracian soldier","T",,,,10.579,,29540391579,
87,"Diomedes","A","sleeping Thracian soldier","T",,,,10.579,,29540391579,
88,"Diomedes","A","sleeping Thracian soldier","T",,,,10.579,,29540391579,
89,"Diomedes","A","sleeping Thracian soldier","T",,,,10.579,,29540391579,
90,"Diomedes","A","Rhesus","T",,,,10.579,,29540391579,
91,"Agamemnon","A","Bienor","T",,,,11.99,,29610251473,
92,"Agamemnon","A","Oileus","T"," spear in the head",,,11.103,,29610251473,
93,"Agamemnon","A","Isus","T"," spear in the chest",,,11.109,,29679619193,
94,"Agamemnon","A","Antiphus","T"," sword in the head",,,11.12,,29679619193,
95,"Agamemnon","A","Peisander","T"," spear in the chest",,,11.16,,29746822494,
96,"Agamemnon","A","Hippolochus","T"," sword cuts off his head",,,11.165,,29746822494,
97,"Agamemnon","A","Iphidamas","T"," sword in the neck",,,11.27,,29816833562,
98,"Agamemnon","A","Coon","T"," spear in the side",,,11.295,,29886534784,
99,"Hector","T","Asaeus","A",,,,11.341,,29954794671,
100,"Hector","T","Autonous","A",,,,11.341,,29954794671,
101,"Hector","T","Opites","A",,,,11.341,,29954794671,
102,"Hector","T","Dolops","A",,,,11.342,,29954794671,
103,"Hector","T","Opheltius","A",,,,11.324,,29954794671,
104,"Hector","T","Agelaus","A",,,,11.325,,29954794671,
105,"Hector","T","Aesymnus","A",,,,11.325,,29954794671,
106,"Hector","T","Orus","A",,,,11.343,,29954794671,
107,"Hector","T","Hipponous","A",,,,11.325,,29954794671,
108,"Diomedes","A","Thymbraeus","T"," spear in the chest",,,11.364,,30023460119,
109,"Odysseus","A","Molion","T",,,,11.366,,30023460119,
110,"Diomedes","A","Amphius","T",,,,11.375,,30091591142,
111,"Diomedes","A","Adrestus","T",,,,11.375,,30091591142,
112,"Odysseus","A","Hippodamas","T",,,,11.381,,30159733378,
113,"Odysseus","A","Hypeirochus","T",,,,11.381,,30159733378,
114,"Diomedes","A","Agastrophus","T"," spear in the hip",,,11.384,,30230030229,
115,"Odysseus","A","De��opites","T",,,,11.479,,30304355232,
116,"Odysseus","A","Tho̦n","T",,,,11.481,,30304355232,
117,"Odysseus","A","Ennomus","A",,,,11.481,,30304355232,
118,"Odysseus","A","Chersidamas","T"," spear in the groin",,,11.481,,30304355232,
119,"Odyssues","A","Charops","T",,,,11.485,,30304355232,
120,"Odysseus","A","Socus","T"," spear in the back",,,11.506,,30375173429,
121,"Telamonian Ajax","A","Doryclus","T",,,,11.552,,,
122,"Telamonian Ajax","A","Pandocus","T",,,,11.553,,,
123,"Telamonian Ajax","A","Lysander","T",,,,11.554,,,
124,"Telamonian Ajax","A","Pyrasus","T",,,,11.554,,,
125,"Telamonian Ajax","A","Pylartes","T",,,,11.554,,,
126,"Eurypylus","A","Apisaon","T"," spear in the liver",,,11.65,,,
127,"Polypoetes","A","Damasus","T"," spear through the cheek",,,12.19,,,
128,"Polypoetes","A","Pylon","T",,,,12.194,,,
129,"Polypoetes","A","Ormenus","T",,,,12.194,,,
130,"Leonteus","A","Hippomachus","T"," spear in the stomach",,,12.196,,,
131,"Leonteus","A","Antiphates","T"," struck with a sword",,,12.198,,,
132,"Leonteus","A","Menon","T",,,,12.201,,,
133,"Leonteus","A","Iamenus","T",,,,12.201,,,
134,"Leonteus","A","Orestes","T",,,,12.201,,,
135,"Telamonian Ajax","A","Epicles","T"," rock in the skull",,,12.416,,,
136,"Sarpedon","T","Alcmaon","A"," spear in the body",,,12.434,,,
137,"Teucer","A","Imbrius","T"," spear in the ear",,,13.198,,,
138,"Hector","T","Amphimachus","A"," spear in the chest",,,13.227,,,
139,"Idomeneus","A","Othryoneus","T"," spear in the gut",,,13.439,,,
140,"Idomeneus","A","Asius","T"," spear in the neck",,,13.472,,,
141,"Antilochus","A","Asius' charioteer","T"," spear in the gut",,,13.482,,,
142,"De��phobus","T","Hypsenor","A"," spear in the liver",,,13.488,,,"wounded?"
143,"Idomeneus","A","Alcathous","T"," spear in the chest",,,13.514,,,
144,"Idomeneus","A","Oenomaus","T"," spear in the stomach",,,13.608,,,
145,"De��phobus","T","Ascalaphus","A"," spear in the shoulder",,,13.621,,,
146,"Aeneas","T","Aphareus","A"," spear in the throat",,,13.647,,,
147,"Antilochus","A","Tho̦n","A"," spear in the back",,,13.652,,,0
148,"Meriones","A","Adamas","T"," spear in the testicles",,,13.677,,,0
149,"Helenus","T","De��pyrus","A"," sword on the head",,,13.687,,,
150,"Menelaus","A","Peisander","T"," sword in the head",,,13.731,,,
151,"Meriones","A","Harpalion","T"," arrow in the buttock",,,13.776,,,
152,"Paris","T","Euchenor","A"," arrow in the jaw",,,13.8,,,
153,"Telamonian Ajax","A"," hits Hector","T"," with a rock",,,14.477,,,
154,"O��lean Ajax","A","Satnius","T"," spear in the side",,,14.517,,,
155,"Polydamas","T","Protho��nor","A"," spear in the shoulder",,,14.525,,,
